title,price,brand,rating,reviews
"MONDIAL Cafeteira Espresso Dolce Crema 20 Bar, Preto/Inox, 1200W, 110V - C-20-EC","R$499,99",‎MONDIAL,"4,5",(563)
"MONDIAL Cafeteira Espresso Dolce Latte 20 Bar, Preto/Inox, 1350W, 220V - C-28-ECL","R$1.009,90",‎MONDIAL,"4,1",(228)
"Cafeteira, Coffe Express 15 Bar, 2 xicaras, Preto, 127V, Philco","R$599,90",‎PHILCO,"4,5",(1.836)
"MONDIAL Cafeteira Espresso Dolce Crema 20 Bar, Preto/Inox, 1200W, 220V - C-20-EC","R$524,99",‎MONDIAL,"4,5",(562)
"Cafeteira Espresso Automática Série 1200 Philips Walita, Preta, 1500W, 110v - EP1220/15","R$2.362,00",‎Philips Walita,"4,5",(1.095)
"Cafeteira Espresso Eos Premium 1,2 Litros com 20 Bar de Pressão Inox Ecf08ec 110v","R$379,90",‎EOS,"5,0",(1)
Cafeteira Espresso Oster Compacta Perfect Brew - 220V,"R$1.099,00",‎Oster,"4,7",(54)
Cafeteira Espresso Oster PrimaLatte Touch - 127V,"R$890,01",‎Oster,"4,6",(1.334)
"Oster CAFETEIRA ESPRESSO OCAF900 DIGITAL, 127V","R$899,99",‎Oster,"4,0",(455)
"Cafeteira Espresso Automática Série 1200 Philips Walita, Preta, 1500W, 220v - EP1220/12","R$2.374,90",‎Philips Walita,"4,5",(1.095)
Cafeteira Espresso Eos 2 em 1 Italiana com 20 Bar de Pressão Inox Ecf06ec 220v,"R$479,90",‎EOS,"4,5",(2)
Cafeteira Espresso Oster Compacta Perfect Brew - 127V,"R$1.099,00",‎Oster,"4,2",(85)
"Cafeteira Espresso 3 em 1 Eos Prepara Espresso, Latte e Cappuccino com 20 Bar de Pressão Inox Ecf07ec 110v","R$898,00",‎EOS,"5,0",(4)
"WAP Cafeteira Espresso Digital AROMA PRIME WCM20, Filtro em Inox e Ajuste de Vapor, 1,2 Litros, 20bar 950W 127V","R$621,00",‎WAP,"4,3",(85)
"Cafeteira Espresso Eos Premium 1,2 Litros com 20 Bar de Pressão Inox Ecf08ec 220v","R$379,90",‎EOS,"3,5",(3)
Cafeteira Espresso Oster Nova PrimaLatte Inox - 127V,"R$890,01",‎Oster,"4,6",(167)
Cafeteira Espresso Oster Xpert Perfect Brew - 220V,"R$2.249,10",‎Oster,"4,7",(156)
Cafeteira Espresso Eos 2 em 1 Italiana com 20 Bar de Pressão Inox Ecf06ec 110v,"R$549,00",‎EOS,Previous page,
"Cafeteira, Coffe Express 15 Bar, 2 xicaras, Preto, 220V, Philco","R$438,57",‎PHILCO,"4,5",(1.836)
"MONDIAL Máquina de Café Espresso Coffee Cream, Preto/Inox, 800W, 110V - C-08","R$479,90",‎MONDIAL,"4,3",(1.407)
Cafeteira Espresso Oster Xpert Perfect Brew - 127V,"R$2.349,00",‎Oster,"4,6",(123)
"Cafeteira Espresso 3 em 1 Eos Prepara Espresso, Latte e Cappuccino com 20 Bar de Pressão Inox Ecf07ec 220v","R$898,00",‎EOS,"4,6",(3)
Cafeteira Elétrica Home Barista Cuisinart Dose Única com Moedor Integrado 127V,"R$1.999,00",‎Cuisinart,"3,1",(21)
Cafeteira Espresso Eos Latte Italiana Inox Ecf05ecl 110v,"R$789,00",‎EOS,"3,8",(125)
"De'Longhi Máquina de café expresso com bomba de 15 barras com espumador de leite e controle de temperatura – Kit compacto de cafeteira barista para expresso, latte, cappuccino e café gelado, design","R$1.871,69",‎De'Longhi,"4,2",(7.783)
"Máquina de café expresso de 20 bar, máquina de café expresso com espuma de leite e aquecedor de xícaras, tanque de água de 1,5 l de grande capacidade","R$765,93",‎XYKJOBC,"3,8",(8)
"Máquina de Café Espresso Arno Virtuoso+ CESP, 15 Bars de Pressão, Thermoblock, Bico Vaporizador 2 em 1, Painel Intuitivo, Acabamento em Aço Inox e Acessórios de Barista, 220V","R$558,50",‎Arno,"3,8",(12)
"Cafeteira Elétrica BrewStation Elite, 35 Xícaras, Preta/Prata Hamilton Beach 110V","R$649,90",‎Hamilton Beach,"4,6",(593)
"Cafeteira Espresso Superautomática Série 5500 Philips Walita, Preta e Cromada, 1400W, 110v - EP5547/95","R$4.703,00",‎Walita,"4,5",(164)
DELONGHI MAGNIFICA MAQUINA DE CAFÉ ESPRESSO ECAM 22.110B 127V,"R$3.586,00",‎De'Longhi,"4,4",(48.699)
Nespresso Cafeteira Lattissima One Preta 110V,"R$1.899,00",‎Nespresso,"4,7",(439)
Combo Cafeteira Espresso Nespresso Vertuo Pop Azul Pacífico + Espumador de Leite Aeroccino 110V,"R$814,60",‎Nespresso,"4,5",(119)
"PHILIPS Baristina Máquina de café expresso, moer, compactar e preparar feijão de café com um só golpe, compacta, pressão da bomba de 16 barras, rebarbadora automática, preto com porta-filtro preto","R$3.263,62",‎Philips,"3,8",(122)
Gaggia Cafeteira Espresso Manual Evolution Deluxe Preta,"R$1.899,00",‎Gaggia,"4,2",(61)
"Cafeteira Espresso Passione Branca, 127V - TRES 3 Corações","R$499,90",‎TRES,"4,6",(4.821)
"Cafeteira Elétrica Arno OPIO Soleil Steam & Pump Marfim SCSP 1,2L, com Bico Vaporizador e 15 BAR de Pressão, 110V","R$799,00",‎Arno,"4,3",(97)
Oster Cafeteira Espresso Oster Nova Perfect Brew - 220V,"R$2.369,00",‎Oster,"5,0",(2)
"Cafeteira Espresso Automática Série 2200, Walita, Preta 1500W, 220v - EP2230/12","R$3.999,00",‎Philips Walita,"4,6",(148)
"Ninja | Cafeteira | Porção única | Brew com cápsulas de café e moagem | Compatível com cápsulas de café K-Cup | 4 estilos de fermentação, tamanhos de xícara de até 680 g e reservatório removível de","R$1.289,10",‎Ninja,"4,4",(5.171)
"Ninja LUXE CAFÉ Premier Series, máquina de expresso, máquina de café a gotas e cerveja rápida a frio, moinho integrado, manuseio assistido, batedor mãos livres, para cappuccinos e lattes, laticínios","R$5.789,75",‎Ninja,"4,5",(1.342)
Cafeteira Espresso Nespresso Essenza Mini Preta 110/127V,"R$359,00",‎Nespresso,"4,8",(6.048)
"Nespresso Vertuo Pop Preta 110V, Cafeteira","R$407,55",‎Nespresso,"4,4",(1.640)
Cafeteira Express 127v Tramontina Prata 110v,"R$4.050,90",‎Tramontina,"4,7",(74)
"Cafeteira Expresso Nescafé Dolce Gusto, Arno, Genio S Basic DGS1, 220v","R$429,00",‎GOVVOM,"4,8",(698)
"KRUPS Cafeteira Essential Brewer com 8 xícaras, tecnologia de floração certificada pela SCA, qualidade barista, máquina de café derramada, fácil de limpar, lavável na lava-louças, design de aço","R$2.441,72",‎KRUPS,"3,8",(191)
